session_id,segment_id,driver_a,driver_b,entry_speed_delta_kph,terminal_speed_delta_kph,acceleration_delta,drs_active_delta_pct,clipping_proxy_delta,confidence,favorable_driver
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,BOR,-7.5,-8.0,-0.0042,0.0,0.2,0.55,BOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,BOT,-3.5,-0.5,0.025,0.0,0.1333,0.55,BOT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,COL,-5.0,-4.5,0.0042,0.0,0.2,0.55,COL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,GAS,-6.5,-7.0,-0.0042,0.0,0.2,0.55,GAS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,HAD,-9.167,-6.333,0.0236,0.0,0.2,0.55,HAD
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,HAM,-9.5,-5.5,0.0333,0.0,0.0,0.55,HAM
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,HUL,-4.0,-10.5,-0.0542,0.0,0.2,0.55,HUL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,LAW,-6.5,-6.5,0.0,0.0,0.2,0.55,LAW
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,LEC,-9.0,-5.0,0.0333,0.0,-0.1333,0.55,LEC
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,LIN,-10.5,-12.0,-0.0125,0.0,0.2,0.55,LIN
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,NOR,-12.0,-9.5,0.0208,0.0,0.2,0.55,NOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,OCO,-10.5,-5.5,0.0417,0.0,0.2,0.55,OCO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,PER,-0.5,-4.5,-0.0333,0.0,0.2,0.55,PER
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,PIA,-13.0,-9.5,0.0292,0.0,0.2,0.55,PIA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_09,ALO,RUS,-9.0,-7.0,0.0167,0.0,0.2,0.55,RUS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,ANT,-11.0,-12.5,-0.0125,0.0,0.4,0.55,ANT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALO,BEA,-11.5,-14.0,-0.0209,0.0,0.5333,0.55,BEA
